video_on,num_clients,topology,total_packets,total_bytes,avg_bytes,std_bytes,median_bytes,max_bytes,total_packets_in,total_bytes_in,avg_bytes_in,std_bytes_in,median_bytes_in,max_bytes_in,total_packets_out,total_bytes_out,avg_bytes_out,std_bytes_out,median_bytes_out,max_bytes_out,avg_inter_arr,std_inter_arr,median_inter_arr,max_inter_arr
True,8,hdumb,915037,409319928,447.3260950103657,394.2404262932341,346.0,1214,303693,169969663,559.6759326029905,456.16309053619716,644.0,1214,611344,239350265,391.51486724331966,346.2388764360792,280.0,1214,0.0006520066676686176,0.0016233468505628683,0.0001418590545654297,0.06569194793701172
True,8,hdumb,947895,418288516,441.2814879285153,397.1893339016017,318.0,1214,308481,176293892,571.4902765486368,458.83155898841994,674.0,1214,639414,241994624,378.4631303036843,346.66538309084706,129.0,1214,0.0006389896041439282,0.0015611948721545455,0.00014495849609375,0.042244911193847656
True,5,hdumb,455441,205274600,450.71611910214494,404.9698345469884,320.0,1214,196305,114209248,581.7949007921347,453.902760357967,690.0,1214,259136,91065352,351.4191467028896,330.58801111741974,126.0,1214,0.001009995654457326,0.0019266018375434977,0.00015211105346679688,0.03266000747680664
True,5,hdumb,436602,202859580,464.6327318702159,405.2635113455571,359.0,1214,195740,113409151,579.38669152958,453.5070409302704,685.0,1214,240862,89450429,371.3762610955651,333.42471143360683,139.0,1214,0.0010134791733962941,0.0021330802605754053,0.00015091896057128906,0.04326009750366211
True,5,hdumb,443770,202506322,456.3317078666877,405.71141520187706,342.0,1214,195647,113279157,578.9976692716986,452.8311146838477,683.0,1214,248123,89227165,359.6086013791547,333.891981651462,130.0,1214,0.0010152574395796597,0.0020110686066124837,0.00015211105346679688,0.036299943923950195
False,8,hdumb,372208,33003679,88.66998828611959,25.300979186752333,78.0,547,84899,6756497,79.58276304785687,23.64575615135873,75.0,547,287309,26247182,91.35523774055112,25.148955383419807,78.0,357,0.0023258028104759143,0.0031241269177794753,0.0008934736251831055,0.06161093711853027
False,8,hdumb,366361,31343429,85.55339951577815,22.253648231583497,77.0,547,84760,6688569,78.91185700802265,19.869560267844875,75.0,547,281601,24654860,87.55245897564284,22.542861582081503,78.0,357,0.002335198102020835,0.003315115798396803,0.0008189678192138672,0.07125496864318848
False,8,hdumb,364986,30496001,83.55389247806765,20.69678260927648,77.0,548,85053,6660525,78.31028887869917,17.867367408592994,75.0,548,279933,23835476,85.14707447853594,21.22777104901034,77.0,357,0.0023263900433502533,0.003248052670078634,0.0008260011672973633,0.056999921798706055
False,5,hdumb,147973,12871676,86.98665297047434,24.687802860639597,77.0,545,53119,4303474,81.01571942242889,20.451425700326876,75.0,545,94854,8568202,90.33042359837224,26.180815963095526,79.0,357,0.0037600617482542896,0.004030882211630478,0.0022870302200317383,0.11219382286071777
False,5,hdumb,151996,13187878,86.76463854311956,24.561745043418455,77.0,547,53079,4304647,81.09887149343432,20.483809243692086,75.0,547,98917,8883231,89.80489703488783,25.98818148179133,78.0,357,0.0037493055688530377,0.004472443859665126,0.0019545555114746094,0.06492495536804199
False,5,hdumb,145718,12679652,87.01500157839114,24.81421531405833,77.0,546,52810,4273412,80.920507479644,20.523457283268346,75.0,546,92908,8406240,90.47918370861497,26.32892875293958,79.0,357,0.0037522312096332808,0.004372778462754435,0.002156972885131836,0.05071401596069336
False,3,hdumb,69418,6240780,89.90146647843498,26.911274954744922,78.0,548,31523,2728885,86.56806141547442,23.593803355148314,76.0,548,37895,3511895,92.67436337247658,29.097739811394973,81.0,357,0.006278648434552995,0.005171328287598507,0.006565093994140625,0.04572701454162598
False,3,hdumb,72974,6573031,90.07360155671883,27.12567614164041,79.0,546,31635,2750390,86.94136241504663,24.500637207986905,77.0,546,41339,3822641,92.47057258279106,28.744986521515195,83.0,357,0.006277509040745696,0.0050959901729365825,0.006636142730712891,0.040541887283325195
False,3,hdumb,69332,6349190,91.57661685801651,27.621413675249368,80.0,547,31774,2778355,87.44114684962548,24.67123163970509,76.0,547,37558,3570835,95.07521699771021,29.44091428301946,99.0,357,0.006284208731149601,0.00554099963543,0.005995035171508789,0.0480039119720459
False,3,hdumb,71052,6375561,89.73091538591454,27.06236548438928,78.0,546,31665,2740492,86.54640770566871,23.758340769568314,76.0,546,39387,3635069,92.29108589128393,29.20058980981134,81.0,357,0.006282523018413869,0.005355022523930107,0.006267547607421875,0.048002004623413086
True,3,hdumb,209474,97718900,466.49655804538986,412.96408507427606,348.0,1214,119951,69581029,580.0787738326484,442.7951653472593,674.0,1214,89523,28137871,314.3088480055405,309.6590980328182,125.0,1214,0.001656438234002454,0.0027613053381325284,0.0001800060272216797,0.04637312889099121
True,3,hdumb,211125,97684897,462.6874931912374,412.30849774253664,339.0,1214,119749,69381152,579.3881535545182,442.66704085121677,670.0,1214,91376,28303745,309.7503173699877,307.8094608543047,124.0,1214,0.0016601485714993808,0.0028296515455047554,0.0001728534698486328,0.05572390556335449
True,3,hdumb,213346,98077879,459.71276236723446,412.2708548059448,332.0,1214,120000,69635478,580.29565,442.50216444946017,674.0,1214,93346,28442401,304.6986587534549,306.63921034295356,123.0,1214,0.0016607336215608752,0.002920130804620621,0.00017380714416503906,0.05050516128540039
True,8,tiered,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,8,tiered,147195,81313867,552.4227521315262,449.3691643682771,635.0,1214,97285,59380021,610.3718044919566,469.344303631283,841.0,1214,49910,21933846,439.46796233219794,383.22419656623066,466.0,1214,0.0017651015782570948,0.0018155465195550421,0.0012400150299072266,0.02795696258544922
