video_on,num_clients,topology,vpn,vpn_topology,total_packets,total_bytes,avg_bytes,std_bytes,median_bytes,max_bytes,total_packets_in,total_bytes_in,avg_bytes_in,std_bytes_in,median_bytes_in,max_bytes_in,total_packets_out,total_bytes_out,avg_bytes_out,std_bytes_out,median_bytes_out,max_bytes_out,avg_inter_arr,std_inter_arr,median_inter_arr,max_inter_arr
False,8,tiered,wireguard,ptp,273850,59400268,216.9080445499361,291.43488238801484,144.0,1452,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,3,tiered,wireguard,ptp,10641,6965788,654.617799079034,644.5091556735814,160.0,1452,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,3,tiered,wireguard,ptp,9654,6765688,700.8170706442925,658.3503503238595,176.0,1452,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,3,tiered,wireguard,ptp,10637,7008624,658.8910407069662,644.9681456224301,160.0,1452,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,5,tiered,wireguard,ptp,292856,172053784,587.503018548365,458.9701700724991,576.0,1452,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,5,tiered,wireguard,ptp,283296,169964944,599.9553258782333,459.1561229697469,624.0,1452,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,5,tiered,wireguard,ptp,287627,170951428,594.3511144642193,458.4626628059161,608.0,1452,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,8,tiered,wireguard,ptp,722433,392039980,542.6662126453249,437.2408804381982,192.0,1452,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,8,tiered,wireguard,ptp,624029,377429968,604.8276089733009,440.5549758769835,672.0,1452,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,8,tiered,wireguard,ptp,695544,388128664,558.0217268785296,438.80365373733093,512.0,1452,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,5,tiered,wireguard,ptp,96346,25091632,260.43252444315283,366.735351214066,144.0,1452,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,5,tiered,wireguard,ptp,106994,26855272,250.9979251172963,347.8920840819246,144.0,1452,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
