video_on,num_clients,topology,total_packets,total_bytes,avg_bytes,std_bytes,median_bytes,max_bytes,total_packets_in,total_bytes_in,avg_bytes_in,std_bytes_in,median_bytes_in,max_bytes_in,total_packets_out,total_bytes_out,avg_bytes_out,std_bytes_out,median_bytes_out,max_bytes_out,avg_inter_arr,std_inter_arr,median_inter_arr,max_inter_arr
True,5,hdumb,436602,206352396,472.6327318702159,405.2635113455571,367.0,1222,195740,114975071,587.38669152958,453.5070409302704,693.0,1222,240862,91377325,379.3762610955651,333.42471143360683,147.0,1222,0.0010134791733962941,0.0021330802605754053,0.00015091896057128906,0.04326009750366211
True,5,hdumb,443770,206056482,464.3317078666877,405.71141520187706,350.0,1222,195647,114844333,586.9976692716986,452.8311146838477,691.0,1222,248123,91212149,367.6086013791547,333.891981651462,138.0,1222,0.0010152574395796597,0.0020110686066124837,0.00015211105346679688,0.036299943923950195
False,8,hdumb,372208,35981343,96.66998828611959,25.300979186752333,86.0,555,84899,7435689,87.58276304785687,23.64575615135873,83.0,555,287309,28545654,99.35523774055112,25.148955383419807,86.0,365,0.0023258028104759143,0.0031241269177794753,0.0008934736251831055,0.06161093711853027
False,8,hdumb,366361,34274317,93.55339951577815,22.253648231583497,85.0,555,84760,7366649,86.91185700802265,19.869560267844875,83.0,555,281601,26907668,95.55245897564284,22.542861582081503,86.0,365,0.002335198102020835,0.003315115798396803,0.0008189678192138672,0.07125496864318848
False,8,hdumb,364986,33415889,91.55389247806765,20.69678260927648,85.0,556,85053,7340949,86.31028887869917,17.867367408592994,83.0,556,279933,26074940,93.14707447853594,21.22777104901034,85.0,365,0.0023263900433502533,0.003248052670078634,0.0008260011672973633,0.056999921798706055
False,5,hdumb,147973,14055460,94.98665297047434,24.687802860639597,85.0,553,53119,4728426,89.01571942242889,20.451425700326876,83.0,553,94854,9327034,98.33042359837224,26.180815963095526,87.0,365,0.0037600617482542896,0.004030882211630478,0.0022870302200317383,0.11219382286071777
False,5,hdumb,151996,14403846,94.76463854311956,24.561745043418455,85.0,555,53079,4729279,89.09887149343432,20.483809243692086,83.0,555,98917,9674567,97.80489703488783,25.98818148179133,86.0,365,0.0037493055688530377,0.004472443859665126,0.0019545555114746094,0.06492495536804199
False,5,hdumb,145718,13845396,95.01500157839114,24.81421531405833,85.0,554,52810,4695892,88.920507479644,20.523457283268346,83.0,554,92908,9149504,98.47918370861497,26.32892875293958,87.0,365,0.0037522312096332808,0.004372778462754435,0.002156972885131836,0.05071401596069336
False,3,hdumb,69418,6796124,97.90146647843498,26.911274954744922,86.0,556,31523,2981069,94.56806141547442,23.593803355148314,84.0,556,37895,3815055,100.67436337247658,29.097739811394973,89.0,365,0.006278648434552995,0.005171328287598507,0.006565093994140625,0.04572701454162598
False,3,hdumb,72974,7156823,98.07360155671883,27.12567614164041,87.0,554,31635,3003470,94.94136241504663,24.500637207986905,85.0,554,41339,4153353,100.47057258279106,28.744986521515195,91.0,365,0.006277509040745696,0.0050959901729365825,0.006636142730712891,0.040541887283325195
False,3,hdumb,69332,6903846,99.57661685801651,27.621413675249368,88.0,555,31774,3032547,95.44114684962548,24.67123163970509,84.0,555,37558,3871299,103.07521699771021,29.44091428301946,107.0,365,0.006284208731149601,0.00554099963543,0.005995035171508789,0.0480039119720459
False,3,hdumb,71052,6943977,97.73091538591454,27.06236548438928,86.0,554,31665,2993812,94.54640770566871,23.758340769568314,84.0,554,39387,3950165,100.29108589128393,29.20058980981134,89.0,365,0.006282523018413869,0.005355022523930107,0.006267547607421875,0.048002004623413086
